,artist_id,artist_name,external_url
0,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6
1,790FomKkXshlbRYZFtlgla,KAROL G,https://api.spotify.com/v1/artists/790FomKkXshlbRYZFtlgla
2,0EmeFodog0BfCgMzAIvKQp,Shakira,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp
3,7tYKF4w9nC0nq9CsPZTHyP,SZA,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP
4,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,https://api.spotify.com/v1/artists/78rUTD7y6Cy67W1RVzYs7t
5,3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,https://api.spotify.com/v1/artists/3LZZPxNDGDFVSIPqf4JuEf
6,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
7,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
8,6KImCVD70vtIoJWnq6nGn3,Harry Styles,https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3
9,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp
10,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
11,1URnnhqYAYcrqrcwql10ft,21 Savage,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft
12,0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,https://api.spotify.com/v1/artists/0XeEobZplHxzM9QzFQWLiR
13,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,https://api.spotify.com/v1/artists/12GqGscKJx3aE4t07u7eVZ
14,716NhGYqD1jl2wI1Qkgq36,Bizarrap,https://api.spotify.com/v1/artists/716NhGYqD1jl2wI1Qkgq36
15,0EmeFodog0BfCgMzAIvKQp,Shakira,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp
16,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,https://api.spotify.com/v1/artists/0eHQ9o50hj6ZDNBt6Ys1sD
17,2LRoIwlKmHjgvigdNGBHNo,Feid,https://api.spotify.com/v1/artists/2LRoIwlKmHjgvigdNGBHNo
18,46pWGuE3dSwY3bMMXGBvVS,Rema,https://api.spotify.com/v1/artists/46pWGuE3dSwY3bMMXGBvVS
19,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx
20,06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
21,2wY79sveU1sp5g7SokKOiI,Sam Smith,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI
22,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,https://api.spotify.com/v1/artists/3Xt3RrJMFv5SZkCfUE8C1J
23,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai
24,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb
25,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
