,song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
23,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,162637,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ,65,2023-03-22T09:59:52Z,7ubO2LZJZFpyhiWMZkRwcH,0tmwSHipWxN12fsoLcFU3B
24,65FftemJ1DbbZ45DUfHJXE,OMG,212253,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,92,2023-03-22T09:59:52Z,45ozep8uHHnj5CCittuyXj,6HvZYsbFfjnjFrWF950C9d
25,7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,91,2023-03-22T09:59:52Z,2ODvWsOgouMbaA5xf0RkJe,1Xyo4u8uXC1ZmMpatF05PJ
26,2mpoNBkngUEwnaKoBhZ0vl,PRC,184066,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl,90,2023-03-22T09:59:52Z,2OXBosbXT7Qs3J6vBd6IkI,12GqGscKJx3aE4t07u7eVZ
27,7jtQIBanIiJOMS6RyCx6jZ,Another Love,244360,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,61,2023-03-22T09:59:52Z,0KGBW1MQtC2aFPCDUdAkdJ,2txHhyCwHjUEpJjWrEyqyX
28,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,183956,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,91,2023-03-22T09:59:52Z,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH
29,6UN73IYd0hZxLi8wFPMQij,Players,139560,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij,91,2023-03-22T09:59:52Z,4cAAsw7mPkGt15GXQzWlrM,6AMd49uBDJfhf30Ak2QR5s
30,1lRtH4FszTrwwlK5gTSbXO,AMG,174942,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO,91,2023-03-22T09:59:52Z,0s2sLResjP92wRavoj9k0O,0elWFr7TW8piilVRYJUe4P
31,2L9N0zZnd37dwF0clgxMGI,ceilings,182887,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI,89,2023-03-22T09:59:52Z,68L5xVV9wydotfDXEik7eD,1GmsPCcpKgF9OhlNXjOsbS
32,5odlY52u43F5BjByhxg7wg,golden hour,209259,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg,89,2023-03-22T09:59:52Z,69AaAkdktFGnk9POmHENkT,164Uj4eKjl6zTBKfJLFKKK
33,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,208125,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS,79,2023-03-22T09:59:52Z,6BGN5CVd7koJApotl5Bj8u,5XJDexmWFLWOkjOEjOVX3e
34,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,92,2023-03-22T09:59:52Z,4PNqWiJAfjj32hVvlchV5u,716NhGYqD1jl2wI1Qkgq36
35,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,148120,https://open.spotify.com/track/4fYte8ZvTK14NEhAOZocBi,49,2023-03-22T09:59:52Z,33inEak0hNKMDePhjGxE61,5Pwc4xIPtQLFEnJriah9YJ
36,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,201800,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,90,2023-03-22T09:59:52Z,07w0rG5TETcyihsEIZR3qG,7tYKF4w9nC0nq9CsPZTHyP
37,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,255693,https://open.spotify.com/track/2mnXxnrX5vCGolNkaFvVeM,86,2023-03-22T09:59:52Z,2AvuFDqTlnxvYhyVaLU6NY,4SsVbpTthjScTS7U2hmr1X
38,2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,155960,https://open.spotify.com/track/2CeKVsFFXG4QzA415QygGb,87,2023-03-22T09:59:52Z,7pijRxgRaBirPz6wDaJIp9,2LRoIwlKmHjgvigdNGBHNo
39,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,128677,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR,86,2023-03-22T09:59:52Z,26wRfIX4WqKLKHll9O3KnF,5szJHKg5xeUlQ9pTqzdpic
40,0JXXNGljqupsJaZsgSbMZV,Sure Thing,195373,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,91,2023-03-22T09:59:52Z,493HYe7N5pleudEZRyhE7R,360IAlyVv4PCEVjgyMZrxK
41,54ipXppHLA8U4yqpOFTUhr,Bones,165264,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,85,2023-03-22T09:59:52Z,6yiXkzHvC0OTmhfDQOEWtS,53XhwfbYqKCa1cC15pYq2q
42,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,164386,https://open.spotify.com/track/6otePxalBK8AVa20xhZYVQ,87,2023-03-22T09:59:52Z,4kS7bSuU0Jm9LYMosFU2x5,790FomKkXshlbRYZFtlgla
43,561jH07mF1jHuk7KlaeF0s,Mockingbird,250760,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,90,2023-03-22T09:59:52Z,1kTlYbs28MXw7hwO0NLYif,7dGJo4pcD2V6oG8kP0tJRR
44,38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),193463,https://open.spotify.com/track/38UYeBLfvpnDSG9GznZdnL,89,2023-03-22T09:59:52Z,4wtZQMNTC1O79kDxMBsEan,3AA28KZvwAUcZuOKwyblJQ
45,5IgjP7X4th6nMNDh4akUHb,Under The Influence,184613,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,90,2023-03-22T09:59:52Z,3okhA6w5uau6ZNhnVpwVww,7bXgB6jMjp9ATFy66eO08Z
46,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,200120,https://open.spotify.com/track/4NoOME4Dhf4xgxbHDT7VGe,84,2023-03-22T09:59:52Z,4kS7bSuU0Jm9LYMosFU2x5,790FomKkXshlbRYZFtlgla
47,6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,224920,https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p,89,2023-03-22T09:59:52Z,366AAoKCXunrJSqKqZuafy,3l9G1G9MxH6DaRhwLklaf5
48,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,123890,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,90,2023-03-22T09:59:52Z,2FD6g8bXEn2uQMYbeqqoCg,4O15NlyKLIASxsJ0PrXPfz
49,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,168133,https://open.spotify.com/track/0CYTGMBYkwUxrj1MWDLrC5,89,2023-03-22T09:59:52Z,31L7J7AO993tSBxAunoeoa,2LRoIwlKmHjgvigdNGBHNo
