,album_id,album_name,album_release_date,album_total_tracks,album_external_urls
35,33inEak0hNKMDePhjGxE61,33inEak0hNKMDePhjGxE61,2023-02-15,18,https://open.spotify.com/album/33inEak0hNKMDePhjGxE61
36,07w0rG5TETcyihsEIZR3qG,07w0rG5TETcyihsEIZR3qG,2022-12-09,23,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG
37,2AvuFDqTlnxvYhyVaLU6NY,2AvuFDqTlnxvYhyVaLU6NY,2022-12-01,18,https://open.spotify.com/album/2AvuFDqTlnxvYhyVaLU6NY
38,7pijRxgRaBirPz6wDaJIp9,7pijRxgRaBirPz6wDaJIp9,2022-09-14,15,https://open.spotify.com/album/7pijRxgRaBirPz6wDaJIp9
39,26wRfIX4WqKLKHll9O3KnF,26wRfIX4WqKLKHll9O3KnF,2023-02-08,1,https://open.spotify.com/album/26wRfIX4WqKLKHll9O3KnF
40,493HYe7N5pleudEZRyhE7R,493HYe7N5pleudEZRyhE7R,2010-11-26,13,https://open.spotify.com/album/493HYe7N5pleudEZRyhE7R
41,6yiXkzHvC0OTmhfDQOEWtS,6yiXkzHvC0OTmhfDQOEWtS,2022-07-01,32,https://open.spotify.com/album/6yiXkzHvC0OTmhfDQOEWtS
42,4kS7bSuU0Jm9LYMosFU2x5,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,17,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5
43,1kTlYbs28MXw7hwO0NLYif,1kTlYbs28MXw7hwO0NLYif,2004-11-12,23,https://open.spotify.com/album/1kTlYbs28MXw7hwO0NLYif
44,4wtZQMNTC1O79kDxMBsEan,4wtZQMNTC1O79kDxMBsEan,2023-02-24,10,https://open.spotify.com/album/4wtZQMNTC1O79kDxMBsEan
45,3okhA6w5uau6ZNhnVpwVww,3okhA6w5uau6ZNhnVpwVww,2019-10-04,42,https://open.spotify.com/album/3okhA6w5uau6ZNhnVpwVww
46,4kS7bSuU0Jm9LYMosFU2x5,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,17,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5
47,366AAoKCXunrJSqKqZuafy,366AAoKCXunrJSqKqZuafy,2023-01-13,1,https://open.spotify.com/album/366AAoKCXunrJSqKqZuafy
48,2FD6g8bXEn2uQMYbeqqoCg,2FD6g8bXEn2uQMYbeqqoCg,2022-10-17,1,https://open.spotify.com/album/2FD6g8bXEn2uQMYbeqqoCg
49,31L7J7AO993tSBxAunoeoa,31L7J7AO993tSBxAunoeoa,2022-12-02,6,https://open.spotify.com/album/31L7J7AO993tSBxAunoeoa
